Total available cars: 52
('Tesla Model', 350.0, '{BUY}', '', '', '', 'cmm3vbtic0002w60w9j345da7')
('Mercedes-Benz GLE (2017)', 2160000.0, '{RENT}', 'Addis Ababa', 'Yeka', 'CMC', 'cmmcddr5l00cvw6msy6lmvu7j')
('Toyota Corolla (2019)', 2200000.0, '{RENT}', 'Addis Ababa', 'Kirkos', 'Kazanchis', 'cmmcddrtu00d3w6msn40gtsx1')
('Suzuki Swift (2021)', 2240000.0, '{BUY}', 'Addis Ababa', 'Arada', 'Piazza', 'cmmcddsdi00dbw6mss8ohdake')
('Volkswagen Golf (2023)', 2280000.0, '{RENT}', 'Addis Ababa', 'Kolfe Keranio', 'Ayat', 'cmmcddsx000djw6mshn87ma6g')
('Hyundai Santa Fe (2016)', 2320000.0, '{RENT}', 'Addis Ababa', 'Bole', 'Gerji', 'cmmcddtgh00drw6msul5dv723')
('Mercedes-Benz C-Class (2018)', 2360000.0, '{BUY}', 'Addis Ababa', 'Yeka', 'CMC', 'cmmcddu0c00dzw6msncur0b3s')
('Toyota Land Cruiser (2020)', 2400000.0, '{RENT}', 'Addis Ababa', 'Kirkos', 'Kazanchis', 'cmmcddukp00e7w6msnnjf7s00')
('Suzuki Dzire (2022)', 2440000.0, '{RENT}', 'Addis Ababa', 'Arada', 'Piazza', 'cmmcddv4b00efw6msaoy8orzv')
('Volkswagen ID.4 (2015)', 2480000.0, '{BUY}', 'Addis Ababa', 'Kolfe Keranio', 'Ayat', 'cmmcddvo400enw6ms2a7g635f')

--- Market Stats ---
('{BUY}', 18, 1435575.0)
('{RENT}', 34, 1446014.705882353)
