location,propertyType,area,bedrooms,bathrooms,price
Countryside,Villa,2154,4,1,613100
Uptown,Studio,3603,4,1,730450
Countryside,Villa,4370,4,3,945500
Downtown,Villa,1621,4,2,633150
Uptown,Villa,2641,1,3,756150
Countryside,Studio,3411,5,3,611650
Uptown,Penthouse,1587,2,3,608050
Suburbs,Villa,2560,2,1,654000
Downtown,Studio,2575,1,3,546250
Downtown,Penthouse,3835,4,3,965250
Downtown,Penthouse,3661,2,3,919150
Suburbs,Villa,1573,3,3,515950
Downtown,Apartment,3886,5,2,782900
Downtown,Penthouse,3927,2,2,959050
Suburbs,Penthouse,3913,4,2,876950
Downtown,Studio,4575,3,3,866250
Downtown,Studio,3671,4,3,740650
Countryside,Studio,3241,5,2,586150
Suburbs,Penthouse,2853,1,1,687950
Suburbs,Penthouse,3143,4,1,761450
Countryside,Penthouse,3102,2,2,735300
Suburbs,Studio,3309,5,1,596350
Suburbs,Penthouse,3484,4,3,812600
Suburbs,Apartment,2980,5,2,547000
Suburbs,Penthouse,2361,5,3,654150
Suburbs,Villa,539,3,2,360850
Suburbs,Apartment,1183,2,3,247450
Downtown,Villa,2468,1,1,730200
Downtown,Villa,2652,4,1,787800
Suburbs,Penthouse,4359,5,2,953850
Countryside,Apartment,4509,3,3,756350
Countryside,Villa,3900,2,1,855000
Countryside,Apartment,4864,4,2,819600
Suburbs,Apartment,2998,5,3,549700
Suburbs,Studio,2459,2,1,438850
Uptown,Villa,1247,2,2,557050
Downtown,Studio,3375,5,2,706250
Uptown,Penthouse,3479,4,3,911850
Countryside,Apartment,628,3,1,174200
Downtown,Villa,573,4,3,475950
Downtown,Studio,2896,5,1,634400
Suburbs,Apartment,2085,5,3,412750
Suburbs,Villa,4257,3,2,918550
Uptown,Apartment,3497,5,2,724550
Suburbs,Studio,2028,4,1,394200
Downtown,Apartment,2621,5,3,593150
Countryside,Villa,2150,3,2,602500
Suburbs,Penthouse,4466,1,3,929900
Suburbs,Penthouse,4212,4,1,921800
Countryside,Studio,2851,3,3,507650
Countryside,Apartment,874,2,1,201100
Countryside,Penthouse,4604,4,2,980600
Downtown,Apartment,3112,4,1,656800
Suburbs,Villa,3411,1,2,771650
Suburbs,Apartment,4151,1,2,682650
Downtown,Studio,2787,3,2,598050
Uptown,Penthouse,1699,5,1,654850
Uptown,Penthouse,3261,3,2,869150
Suburbs,Villa,3859,1,3,838850
Countryside,Villa,2168,4,3,615200
Downtown,Penthouse,3046,5,2,856900
Downtown,Studio,4037,4,3,795550
Countryside,Villa,3708,4,2,846200
Suburbs,Studio,2623,2,3,463450
Uptown,Studio,1913,2,1,456950
Uptown,Penthouse,1387,3,1,588050
Downtown,Studio,2835,3,3,605250
Countryside,Apartment,4140,4,1,711000
Uptown,Apartment,817,3,3,302550
Countryside,Studio,1731,4,1,349650
Suburbs,Studio,4112,3,3,696800
Uptown,Penthouse,3164,5,1,874600
Suburbs,Apartment,629,5,3,194350
Downtown,Apartment,1844,3,2,456600
Downtown,Penthouse,4667,1,1,1060050
Suburbs,Apartment,2221,2,1,403150
Uptown,Penthouse,4581,3,3,1067150
Suburbs,Villa,2266,2,1,609900
Suburbs,Studio,2771,3,1,495650
Suburbs,Penthouse,506,3,3,355900
Uptown,Penthouse,4851,2,1,1097650
Countryside,Apartment,4214,3,2,712100
Uptown,Apartment,1048,4,2,347200
Downtown,Studio,2398,2,3,529700
Suburbs,Villa,2803,5,2,720450
Countryside,Apartment,1974,2,2,366100
Countryside,Studio,975,4,2,236250
Suburbs,Penthouse,3171,2,1,745650
Suburbs,Apartment,3142,2,1,541300
Downtown,Villa,1110,5,3,566500
Uptown,Penthouse,1803,4,3,660450
Countryside,Penthouse,2790,2,3,688500
Downtown,Studio,3403,3,2,690450
Downtown,Villa,3148,2,2,842200
Suburbs,Villa,3560,4,3,824000
Countryside,Studio,3682,1,1,612300
Suburbs,Apartment,2710,1,1,466500
Countryside,Apartment,614,3,1,172100
Suburbs,Penthouse,1135,3,1,450250
Countryside,Studio,3139,3,2,550850
Downtown,Villa,4235,5,2,1035250
Suburbs,Penthouse,1661,1,3,509150
Suburbs,Apartment,1509,5,3,326350
Countryside,Villa,4990,2,2,1018500
Uptown,Penthouse,3581,2,3,907150
Uptown,Villa,4322,4,1,1038300
Countryside,Apartment,2603,4,3,480450
Suburbs,Penthouse,3339,1,2,760850
Uptown,Apartment,1211,3,1,361650
Suburbs,Studio,1074,2,2,231100
Uptown,Penthouse,4706,4,1,1095900
Uptown,Villa,4205,1,1,990750
Countryside,Villa,1898,5,1,584700
Suburbs,Apartment,4913,5,2,836950
Countryside,Studio,1517,2,3,297550
Downtown,Apartment,2471,2,1,540650
Countryside,Penthouse,1750,1,2,522500
Downtown,Studio,3558,1,2,693700
Countryside,Apartment,1249,3,2,267350
Downtown,Apartment,1558,5,2,433700
Uptown,Studio,2547,1,3,542050
Uptown,Studio,4325,2,1,818750
Uptown,Studio,1526,4,1,418900
Suburbs,Penthouse,1904,3,1,565600
Suburbs,Villa,1442,5,2,516300
Countryside,Villa,3304,4,3,785600
Countryside,Studio,3383,4,3,597450
Suburbs,Villa,4044,3,2,886600
Uptown,Studio,1206,3,2,360900
Suburbs,Studio,4703,5,1,805450
Countryside,Studio,3988,2,1,668200
Uptown,Villa,3834,1,1,935100
Uptown,Studio,1491,3,1,403650
Uptown,Villa,3569,2,1,905350
Countryside,Penthouse,1720,1,1,518000
Suburbs,Studio,4918,2,2,807700
Countryside,Villa,2519,5,2,677850
Uptown,Apartment,1782,3,1,447300
Downtown,Penthouse,4362,1,1,1014300
Uptown,Apartment,3871,1,2,740650
Uptown,Penthouse,4759,4,2,1103850
Suburbs,Penthouse,4932,2,1,1009800
Downtown,Penthouse,1254,5,3,588100
Downtown,Villa,2187,2,2,698050
Uptown,Apartment,4507,5,3,876050
Suburbs,Penthouse,3686,4,2,842900
Downtown,Penthouse,1145,5,1,571750
Countryside,Studio,4625,1,2,753750
Downtown,Apartment,1656,4,1,438400
Countryside,Studio,1065,3,3,239750
Uptown,Villa,3749,4,3,952350
Uptown,Apartment,954,2,2,313100
Downtown,Studio,1682,2,1,422300
Uptown,Villa,4993,5,3,1148950
Uptown,Villa,3844,2,1,946600
Uptown,Apartment,4213,3,3,811950
Uptown,Studio,4630,5,3,894500
Suburbs,Studio,1964,4,3,384600
Uptown,Studio,769,4,2,305350
Suburbs,Apartment,929,5,1,239350
Downtown,Villa,1735,2,3,630250
Uptown,Penthouse,972,2,2,515800
Uptown,Villa,1743,1,1,621450
Suburbs,Villa,2109,4,3,606350
Suburbs,Penthouse,3128,2,3,739200
Suburbs,Villa,2251,1,1,597650
Suburbs,Villa,1274,1,2,451100
Uptown,Villa,1181,2,2,547150
Suburbs,Penthouse,4894,5,2,1034100
Countryside,Villa,3465,1,1,779750
Uptown,Penthouse,3977,2,3,966550
Countryside,Apartment,793,4,1,208950
Suburbs,Studio,879,1,3,191850
Countryside,Villa,3664,4,1,839600
Countryside,Studio,2630,2,1,464500
Uptown,Penthouse,2727,5,3,809050
Suburbs,Villa,1497,5,2,524550
Downtown,Studio,2456,1,2,528400
Countryside,Apartment,4934,2,1,810100
Suburbs,Villa,2322,4,1,638300
Downtown,Villa,3068,2,3,830200
Uptown,Villa,962,3,3,524300
Countryside,Studio,1947,4,1,382050
Uptown,Penthouse,2851,5,3,827650
Uptown,Apartment,1601,2,1,410150
Uptown,Studio,3808,4,1,761200
Downtown,Villa,4731,3,2,1089650
Uptown,Villa,4083,3,1,992450
Suburbs,Studio,1686,1,3,312900
Suburbs,Apartment,1803,3,1,350450
Countryside,Apartment,4089,5,3,713350
Downtown,Villa,3456,4,3,908400
Suburbs,Penthouse,3627,5,3,844050
Suburbs,Villa,4458,3,1,948700
Uptown,Penthouse,1992,2,3,668800
Countryside,Studio,1796,2,3,339400
Uptown,Apartment,2643,2,1,566450
Countryside,Studio,4165,4,2,714750
Uptown,Apartment,1472,4,3,410800
Downtown,Penthouse,548,4,2,472200
Countryside,Villa,1029,1,2,414350
Downtown,Penthouse,4327,3,1,1029050
Downtown,Penthouse,3848,2,3,947200
Downtown,Penthouse,766,2,3,484900
Downtown,Villa,2063,1,1,669450
Countryside,Penthouse,3559,2,1,803850
Uptown,Apartment,1530,2,1,399500
Suburbs,Studio,656,2,1,168400
Uptown,Villa,4305,4,1,1035750
Countryside,Studio,4348,5,1,752200
Countryside,Penthouse,1566,4,3,524900
Suburbs,Studio,3709,2,3,626350
Countryside,Penthouse,3608,1,1,801200
Downtown,Penthouse,1122,2,2,538300
Suburbs,Studio,812,3,3,201800
Downtown,Studio,4450,2,2,837500
Uptown,Penthouse,4146,2,3,991900
Downtown,Apartment,1869,3,2,460350
Suburbs,Penthouse,4373,1,1,915950
Downtown,Studio,1252,3,3,367800
Suburbs,Studio,561,5,1,184150
Downtown,Villa,4858,4,1,1118700
Suburbs,Studio,3315,5,2,597250
Uptown,Apartment,2373,5,1,555950
Uptown,Penthouse,4645,1,2,1056750
Downtown,Studio,1139,4,2,360850
Uptown,Villa,2680,4,2,792000
Uptown,Penthouse,3148,3,1,852200
Countryside,Villa,2173,5,2,625950
Uptown,Apartment,2685,5,3,602750
Suburbs,Villa,1985,3,2,577750
Downtown,Penthouse,1597,1,1,599550
Downtown,Villa,4975,3,1,1126250
Suburbs,Studio,3003,3,2,530450
Downtown,Penthouse,1078,4,1,551700
Uptown,Penthouse,2323,5,3,748450
Downtown,Studio,501,3,2,255150
Downtown,Penthouse,1170,5,3,575500
Suburbs,Penthouse,4727,3,3,989050
Downtown,Apartment,4459,3,1,848850
Countryside,Villa,4349,1,3,912350
Uptown,Apartment,2886,4,2,622900
Suburbs,Studio,2845,5,2,526750
Suburbs,Apartment,2880,4,2,522000
Suburbs,Apartment,4154,5,2,723100
Suburbs,Apartment,2614,1,1,452100
Uptown,Villa,3775,3,3,946250
Countryside,Studio,1503,4,3,315450
Uptown,Penthouse,2705,5,1,805750
Countryside,Villa,3308,4,3,786200
Uptown,Penthouse,4039,4,2,995850
Countryside,Apartment,2787,4,3,508050
Uptown,Apartment,3558,1,1,693700
Countryside,Penthouse,3693,1,1,813950
Suburbs,Penthouse,3792,4,2,858800
Uptown,Apartment,4764,4,2,904600
Downtown,Studio,3192,5,1,678800
Downtown,Villa,1114,2,1,537100
Uptown,Villa,2894,4,2,824100
Downtown,Apartment,609,4,2,281350
Countryside,Penthouse,4977,5,3,1046550
Downtown,Studio,3692,4,3,743800
Countryside,Studio,4694,1,2,764100
Suburbs,Studio,3341,4,3,591150
Countryside,Apartment,4843,4,3,816450
Downtown,Penthouse,3718,2,3,927700
Suburbs,Villa,3971,3,3,875650
Suburbs,Apartment,2084,3,3,392600
Suburbs,Villa,1423,2,3,483450
Downtown,Villa,3822,4,3,963300
Downtown,Apartment,4029,5,2,804350
Suburbs,Villa,3389,4,1,798350
Countryside,Villa,4777,5,1,1016550
Countryside,Villa,3202,4,3,770300
Countryside,Studio,1830,5,3,374500
Suburbs,Villa,574,1,1,346100
Suburbs,Villa,3263,5,3,789450
Downtown,Penthouse,3667,5,1,950050
Downtown,Villa,4966,5,3,1144900
Countryside,Studio,1957,4,1,383550
Uptown,Villa,2976,5,3,846400
Uptown,Apartment,573,3,1,265950
Downtown,Studio,730,1,2,269500
Suburbs,Apartment,2554,5,2,483100
Uptown,Apartment,709,4,2,296350
Suburbs,Villa,3316,5,1,797400
Suburbs,Penthouse,2066,2,1,579900
Countryside,Apartment,3660,4,1,639000
Countryside,Studio,1704,4,2,345600
Uptown,Studio,3688,5,1,753200
Countryside,Studio,4671,5,1,800650
Suburbs,Villa,2441,1,1,626150
Countryside,Apartment,2826,5,2,523900
Downtown,Studio,3071,3,3,640650
Countryside,Villa,3398,5,3,809700
Suburbs,Apartment,3570,3,1,615500
Suburbs,Studio,2182,1,3,387300
Suburbs,Studio,1584,1,2,297600
Downtown,Studio,2305,3,3,525750
Countryside,Villa,3662,5,3,849300
Countryside,Studio,3287,4,1,583050
Countryside,Apartment,1545,5,1,331750
Uptown,Studio,3369,2,1,675350
Downtown,Villa,4013,5,2,1001950
Suburbs,Studio,4378,2,2,726700
Suburbs,Studio,1334,2,1,270100
Downtown,Studio,3573,4,3,725950
Suburbs,Apartment,4447,4,1,757050
Uptown,Apartment,3383,4,1,697450
Suburbs,Studio,3956,2,2,663400
Uptown,Studio,2638,1,2,555700
Uptown,Studio,3692,1,3,713800
Countryside,Penthouse,1084,2,3,432600
Uptown,Apartment,4352,2,2,822800
Suburbs,Apartment,3195,4,2,569250
Downtown,Studio,2296,4,1,534400
Countryside,Studio,4721,4,1,798150
Downtown,Penthouse,2853,2,3,797950
Uptown,Studio,4923,4,2,928450
Countryside,Apartment,4381,3,2,737150
Uptown,Villa,2760,1,3,774000
Countryside,Studio,3512,2,1,596800
Uptown,Villa,702,5,3,505300
Downtown,Penthouse,3655,4,1,938250
Downtown,Villa,3086,3,1,842900
Uptown,Apartment,4962,3,1,924300
Uptown,Villa,967,4,3,535050
Uptown,Penthouse,4537,3,1,1060550
Suburbs,Villa,2947,4,2,732050
Countryside,Villa,2824,2,3,693600
Countryside,Penthouse,905,4,2,425750
Downtown,Villa,727,1,2,469050
Downtown,Studio,4569,4,1,875350
Countryside,Penthouse,3485,1,2,782750
Countryside,Studio,4979,1,3,806850
Countryside,Apartment,2428,5,1,464200
Suburbs,Studio,2261,2,3,409150
Uptown,Villa,4629,4,1,1084350
Uptown,Penthouse,3232,2,1,854800
Countryside,Studio,1315,3,2,277250
Countryside,Apartment,2775,3,3,496250
Downtown,Villa,691,3,3,483650
Countryside,Villa,792,1,3,378800
Countryside,Penthouse,682,1,2,362300
Downtown,Villa,3971,4,2,985650
Countryside,Apartment,3698,1,3,614700
Countryside,Apartment,3641,4,2,636150
Downtown,Penthouse,3669,5,2,950350
Uptown,Villa,3951,1,3,952650
Countryside,Villa,2102,3,2,595300
Uptown,Villa,4622,2,1,1063300
Downtown,Villa,2501,1,1,735150
Countryside,Penthouse,1733,5,2,559950
Countryside,Apartment,3034,2,2,525100
Countryside,Villa,2651,5,3,697650
Suburbs,Villa,4361,5,2,954150
Countryside,Villa,3639,1,2,805850
Uptown,Studio,4093,1,2,773950
Uptown,Apartment,806,2,3,290900
Countryside,Apartment,3041,2,3,526150
Uptown,Studio,1968,1,3,455200
Suburbs,Apartment,1896,3,3,364400
Suburbs,Villa,639,5,1,395850
Downtown,Studio,1463,1,1,379450
Downtown,Apartment,2715,1,3,567250
Countryside,Penthouse,1962,1,3,554300
Uptown,Penthouse,4502,2,2,1045300
Downtown,Villa,2300,5,2,745000
Downtown,Studio,1911,5,2,486650
Uptown,Studio,2234,1,1,495100
Uptown,Apartment,4321,2,1,818150
Suburbs,Studio,1561,1,3,294150
Countryside,Penthouse,3630,3,1,824500
Suburbs,Penthouse,2746,2,2,681900
Uptown,Apartment,1851,1,3,437650
Suburbs,Villa,3756,4,1,853400
Countryside,Apartment,3092,2,3,533800
Downtown,Penthouse,2439,3,1,745850
Countryside,Penthouse,4913,3,2,1016950
Countryside,Apartment,4143,1,2,681450
Downtown,Apartment,1676,1,2,411400
Downtown,Studio,4709,1,1,866350
Countryside,Villa,4495,1,3,934250
Countryside,Villa,1201,4,2,470150
Suburbs,Apartment,1145,4,1,261750
Uptown,Apartment,4734,1,3,870100
Downtown,Penthouse,1276,4,3,581400
Suburbs,Penthouse,1438,2,2,485700
Uptown,Studio,1707,1,1,416050
Downtown,Penthouse,1934,3,1,670100
Uptown,Studio,2224,4,3,523600
Suburbs,Penthouse,1484,4,3,512600
Countryside,Villa,990,5,2,448500
Uptown,Apartment,2512,4,2,566800
Uptown,Apartment,4346,4,1,841900
Uptown,Studio,2617,3,2,572550
Uptown,Apartment,3118,4,1,657700
Uptown,Apartment,3569,4,1,725350
Suburbs,Studio,4916,4,3,827400
Countryside,Apartment,1588,5,1,338200
Countryside,Villa,561,1,1,344150
Uptown,Penthouse,4959,5,3,1143850
Suburbs,Villa,728,1,3,369200
Suburbs,Apartment,1967,3,3,375050
Downtown,Apartment,4908,4,1,926200
Uptown,Villa,781,4,1,507150
Countryside,Studio,2118,3,1,397700
Uptown,Villa,1950,1,1,652500
Downtown,Apartment,4711,1,2,866650
Downtown,Villa,1955,5,3,693250
Suburbs,Studio,4489,2,3,743350
Downtown,Apartment,1305,1,1,355750
Suburbs,Studio,2138,4,3,410700
Downtown,Villa,4940,5,2,1141000
Countryside,Apartment,707,3,2,186050
Downtown,Penthouse,3993,1,1,958950
Uptown,Villa,4061,3,3,989150
Uptown,Villa,2938,3,1,820700
Uptown,Villa,3850,3,3,957500
Uptown,Studio,3586,5,1,737900
Countryside,Apartment,1055,2,1,228250
Uptown,Apartment,1927,3,2,469050
Countryside,Villa,3781,1,1,827150
Downtown,Apartment,3190,2,1,648500
Downtown,Studio,3223,4,3,673450
Uptown,Villa,2391,2,1,728650
Countryside,Villa,3101,2,3,735150
Downtown,Penthouse,633,2,3,464950
Suburbs,Penthouse,3741,4,1,851150
Downtown,Villa,1591,2,3,608650
Suburbs,Apartment,1278,3,2,271700
Uptown,Apartment,3462,3,2,699300
Uptown,Apartment,4472,4,1,860800
Downtown,Villa,3485,2,1,892750
Downtown,Studio,1795,3,1,449250
Downtown,Studio,2796,4,2,609400
Countryside,Apartment,1285,3,2,272750
Uptown,Penthouse,3891,2,1,953650
Countryside,Studio,2433,1,1,424950
Uptown,Villa,1930,5,3,689500
Suburbs,Villa,2585,1,2,647750
Countryside,Villa,4680,5,3,1002000
Countryside,Apartment,4815,2,3,792250
Suburbs,Penthouse,1894,1,1,544100
Downtown,Penthouse,4659,1,3,1058850
Suburbs,Apartment,4494,1,1,734100
Suburbs,Apartment,1850,5,2,377500
Countryside,Apartment,4371,5,2,755650
Uptown,Villa,1980,4,3,687000
Downtown,Penthouse,2403,5,2,760450
Uptown,Studio,2499,3,2,554850
Uptown,Apartment,2918,4,2,627700
Uptown,Studio,588,3,3,268200
Downtown,Penthouse,2020,3,2,683000
Suburbs,Apartment,4682,4,1,792300
Suburbs,Penthouse,1053,3,3,437950
Downtown,Penthouse,2270,1,2,700500
Downtown,Apartment,2963,2,1,614450
Countryside,Studio,4191,1,1,688650
Downtown,Villa,3499,2,1,894850
Countryside,Apartment,4007,3,1,681050
Countryside,Studio,2762,4,3,504300
Countryside,Studio,3601,3,3,620150
Uptown,Apartment,2828,3,2,604200
Downtown,Penthouse,4829,2,2,1094350
Uptown,Apartment,2143,3,2,501450
Downtown,Apartment,1092,2,1,333800
Uptown,Villa,2035,2,3,675250
Downtown,Penthouse,1348,5,1,602200
Downtown,Apartment,2656,1,2,558400
Countryside,Studio,3600,2,2,610000
Uptown,Apartment,2387,2,3,528050
Uptown,Apartment,4080,2,1,782000
Uptown,Penthouse,2427,4,2,754050
Downtown,Apartment,1387,4,3,398050
Countryside,Studio,829,3,1,204350
Countryside,Penthouse,986,3,1,427900
Suburbs,Apartment,1916,5,3,387400
Countryside,Villa,4740,4,2,1001000
Downtown,Penthouse,919,1,3,497850
Countryside,Apartment,3833,3,1,654950
Suburbs,Villa,3593,3,1,818950
Countryside,Villa,4533,5,1,979950
Downtown,Penthouse,3212,5,2,881800
Countryside,Villa,3375,3,1,786250
Uptown,Villa,2857,1,3,788550
Uptown,Studio,626,3,1,273900
Countryside,Villa,3695,3,3,834250
Suburbs,Apartment,1616,2,2,312400
Countryside,Villa,1413,2,2,481950
Suburbs,Villa,4006,4,1,890900
Downtown,Studio,1696,5,3,454400
Suburbs,Penthouse,898,1,3,394700
Suburbs,Penthouse,1807,5,2,571050
Suburbs,Studio,4365,3,2,734750
Countryside,Apartment,4019,2,1,672850
Uptown,Villa,3540,4,2,921000
Suburbs,Apartment,3411,5,1,611650
Downtown,Studio,3885,3,3,762750
Suburbs,Apartment,2162,1,1,384300
Downtown,Penthouse,2143,4,2,711450
Downtown,Villa,2601,3,2,770150
Suburbs,Studio,3230,3,3,564500
Downtown,Villa,3302,2,3,865300
Uptown,Penthouse,2209,5,2,731350
Downtown,Penthouse,4604,1,3,1050600
Uptown,Apartment,3731,5,2,759650
Countryside,Apartment,4257,2,3,708550
Uptown,Apartment,3239,4,1,675850
Uptown,Villa,1515,2,3,597250
Suburbs,Studio,740,2,2,181000
Countryside,Apartment,558,4,2,173700
Countryside,Apartment,934,4,3,230100
Uptown,Penthouse,2830,5,2,824500
Suburbs,Penthouse,620,3,3,373000
Suburbs,Studio,3733,2,1,629950
Countryside,Studio,2386,3,2,437900
Countryside,Apartment,1340,2,1,271000
Uptown,Apartment,3428,2,1,684200
Downtown,Villa,846,2,3,496900
Downtown,Penthouse,4589,4,1,1078350
Suburbs,Studio,4371,5,3,755650
Countryside,Villa,4571,5,3,985650
Suburbs,Apartment,2298,4,3,434700
Downtown,Villa,1294,1,1,554100
Suburbs,Penthouse,3212,3,3,761800
Suburbs,Apartment,2314,5,1,447100
Uptown,Apartment,3937,3,2,770550
Countryside,Villa,3982,5,2,897300
Countryside,Apartment,3809,1,3,631350
Downtown,Apartment,2537,1,2,540550
Uptown,Studio,4049,2,2,777350
Countryside,Villa,3897,5,1,884550
Downtown,Apartment,3286,3,2,672900
Suburbs,Penthouse,3166,4,3,764900
Downtown,Apartment,2376,5,2,556400
Uptown,Studio,3315,1,3,657250
Countryside,Penthouse,4963,5,1,1044450
Countryside,Villa,1759,3,2,543850
Suburbs,Villa,633,3,1,374950
Uptown,Studio,1655,4,1,438250
Suburbs,Apartment,3010,3,3,531500
Countryside,Apartment,3685,1,3,612750
Uptown,Studio,2996,4,2,639400
Countryside,Apartment,2197,2,3,399550
Countryside,Studio,602,4,3,180300
Suburbs,Studio,1549,2,1,302350
Uptown,Apartment,3964,2,3,764600
Downtown,Studio,2720,3,3,588000
