brand,model,year,mileage,condition,price
BMW,Hybrid,2023,41571,Good,29342.9
Tesla,SUV,2023,7891,Good,37710.9
Ford,Luxury,2017,849,Fair,9415.1
BMW,Sedan,2018,108528,Fair,15147.199999999999
BMW,Hybrid,2018,120279,Good,13972.099999999999
Tesla,Sedan,2017,134311,Good,11068.9
Ford,Sedan,2023,119624,Good,6537.5999999999985
Tesla,Hybrid,2016,11707,Good,21829.3
Tesla,Sedan,2022,147402,Excellent,17259.8
Ford,Hybrid,2010,71132,Fair,2000.0
Honda,Sedan,2014,73465,Fair,2000.0
Honda,Luxury,2020,25296,Excellent,11470.4
Toyota,Hybrid,2021,3416,Good,15158.4
BMW,SUV,2017,26763,Good,26823.7
BMW,SUV,2010,21757,Good,16824.3
Ford,Hybrid,2016,71260,Good,2000.0
Tesla,Sedan,2022,123326,Excellent,19667.4
Toyota,SUV,2021,22523,Fair,18247.7
Toyota,Sedan,2010,55418,Excellent,2000.0
Honda,SUV,2016,137190,Fair,2000.0
Toyota,Sedan,2021,142903,Fair,2000.0
Ford,SUV,2010,95201,Good,2000.0
Tesla,Hybrid,2022,131981,Good,18801.9
Ford,Luxury,2015,80026,Good,2000.0
Toyota,Luxury,2015,92067,Excellent,2000.0
Ford,Hybrid,2016,81014,Good,2000.0
Ford,Hybrid,2017,95324,Good,2000.0
Toyota,SUV,2017,39811,Fair,10518.9
BMW,Sedan,2021,35875,Excellent,26912.5
Toyota,Hybrid,2013,80859,Fair,2000.0
Ford,Sedan,2016,145417,Good,2000.0
Toyota,Hybrid,2011,8764,Good,2000.0
Tesla,Sedan,2012,140715,Good,2928.5
Ford,Hybrid,2012,124504,Fair,2000.0
Tesla,Luxury,2018,92932,Good,16706.8
BMW,Hybrid,2019,87276,Fair,18772.4
Ford,SUV,2019,95919,Excellent,7908.1
Ford,Sedan,2023,124788,Good,6021.199999999999
Tesla,Sedan,2012,102784,Good,6721.5999999999985
Honda,SUV,2023,95861,Good,13913.9
Honda,Sedan,2012,37188,Good,2000.0
Tesla,Hybrid,2018,75504,Good,18449.6
BMW,SUV,2010,30828,Excellent,15917.2
Toyota,Hybrid,2012,128446,Fair,2000.0
Ford,Sedan,2019,55216,Excellent,6978.4
Tesla,SUV,2011,110941,Excellent,9405.9
Tesla,Hybrid,2015,75820,Fair,13918.0
Tesla,Luxury,2010,120702,Fair,2000.0
Tesla,Sedan,2018,20203,Excellent,23979.7
Toyota,Hybrid,2011,50708,Good,2000.0
BMW,SUV,2012,111944,Fair,10805.599999999999
Tesla,Hybrid,2013,117813,Fair,6718.699999999999
BMW,Luxury,2011,46996,Excellent,10800.4
Honda,Luxury,2010,99537,Fair,2000.0
Honda,Luxury,2017,73149,Excellent,2185.0999999999995
BMW,SUV,2022,29289,Good,34071.1
Ford,Sedan,2018,20512,Fair,8948.8
BMW,Hybrid,2012,106350,Excellent,6365.0
Tesla,Sedan,2016,32083,Good,19791.7
BMW,SUV,2011,90515,Fair,11448.5
BMW,Sedan,2018,84322,Excellent,17567.8
Ford,SUV,2018,119202,Fair,4079.7999999999993
Tesla,Sedan,2011,71818,Fair,8318.2
Ford,SUV,2021,48932,Fair,15606.8
BMW,Luxury,2022,11195,Good,30880.5
BMW,Sedan,2013,16117,Good,16888.3
BMW,SUV,2014,76956,Good,17304.4
Honda,Luxury,2010,140096,Fair,2000.0
Tesla,SUV,2020,19666,Excellent,32033.4
Honda,SUV,2021,1972,Fair,20302.8
Ford,Sedan,2011,43848,Fair,2000.0
Honda,SUV,2017,31008,Excellent,11399.2
Honda,Hybrid,2020,139102,Good,2000.0
Tesla,Luxury,2011,109385,Excellent,4561.5
Toyota,SUV,2018,43494,Fair,11650.599999999999
Ford,SUV,2021,73314,Fair,13168.599999999999
Ford,Sedan,2013,49816,Fair,2000.0
Tesla,Luxury,2017,78318,Excellent,16668.2
BMW,Luxury,2010,91814,Excellent,4818.6
Honda,Hybrid,2012,18797,Excellent,2000.0
Tesla,Luxury,2017,110495,Fair,13450.5
Honda,Hybrid,2016,72035,Fair,2000.0
Ford,Luxury,2012,49889,Good,2000.0
Tesla,SUV,2010,48637,Fair,14136.3
Honda,Hybrid,2018,95797,Fair,2000.0
Honda,Sedan,2014,127428,Fair,2000.0
Honda,Luxury,2017,17523,Fair,7747.7
Honda,Luxury,2016,61206,Good,2000.0
BMW,Sedan,2020,11475,Fair,27852.5
Tesla,Sedan,2019,115980,Excellent,15902.0
Honda,SUV,2011,122170,Good,2000.0
Ford,Hybrid,2010,140175,Excellent,2000.0
BMW,SUV,2020,84370,Fair,25563.0
Honda,SUV,2013,79503,Excellent,2000.0
BMW,Sedan,2017,85201,Fair,15979.9
Toyota,Luxury,2023,77399,Good,10760.099999999999
Ford,SUV,2022,133913,Excellent,8608.699999999999
Toyota,Hybrid,2022,144318,Fair,2568.199999999999
Honda,Sedan,2018,97881,Good,2000.0
Tesla,Hybrid,2013,133521,Fair,5147.9
Ford,Sedan,2012,120011,Good,2000.0
BMW,Luxury,2010,62684,Fair,7731.599999999999
BMW,Hybrid,2014,67524,Good,13247.599999999999
Tesla,Hybrid,2019,113715,Fair,16128.5
Tesla,Luxury,2014,85701,Good,11429.9
Toyota,Hybrid,2010,73759,Fair,2000.0
Honda,SUV,2013,62000,Good,2300.0
Honda,SUV,2011,102904,Good,2000.0
Tesla,SUV,2019,6280,Excellent,31872.0
BMW,Hybrid,2019,51770,Excellent,22323.0
BMW,Luxury,2010,144774,Good,2000.0
Honda,Hybrid,2012,104187,Good,2000.0
Honda,Sedan,2013,128427,Good,2000.0
Ford,Hybrid,2019,66702,Excellent,5829.799999999999
Tesla,Hybrid,2016,79176,Good,15082.4
BMW,Sedan,2016,17153,Good,21284.7
BMW,Sedan,2018,87902,Fair,17209.8
BMW,Hybrid,2015,115917,Fair,9908.3
Honda,SUV,2017,4882,Excellent,14011.8
Tesla,Sedan,2021,77166,Fair,22783.4
Toyota,Sedan,2023,70174,Fair,11482.599999999999
Tesla,Hybrid,2021,43682,Excellent,26131.8
Toyota,Sedan,2012,85104,Fair,2000.0
Tesla,Sedan,2011,73055,Fair,8194.5
Honda,SUV,2013,38417,Excellent,4658.299999999999
BMW,Sedan,2011,48328,Good,10667.2
Honda,Hybrid,2023,87773,Excellent,9722.699999999999
Honda,SUV,2019,37500,Fair,13750.0
BMW,Hybrid,2020,123385,Fair,16661.5
Honda,Hybrid,2013,3919,Excellent,3108.1
Ford,SUV,2012,69252,Excellent,2000.0
Ford,Sedan,2013,109597,Excellent,2000.0
Tesla,Hybrid,2021,74027,Fair,23097.3
Ford,Sedan,2015,15284,Excellent,4971.6
Honda,Luxury,2014,106906,Fair,2000.0
Tesla,Hybrid,2016,61561,Fair,16843.9
Ford,SUV,2018,93670,Excellent,6633.0
Tesla,Luxury,2018,103702,Good,15629.8
BMW,Hybrid,2013,125623,Fair,5937.699999999999
Honda,Sedan,2022,133682,Excellent,3631.7999999999993
BMW,Hybrid,2014,149447,Good,5055.299999999999
Tesla,Hybrid,2014,92265,Fair,10773.5
BMW,Luxury,2013,16441,Fair,16855.9
Tesla,Luxury,2022,37526,Good,28247.4
Tesla,SUV,2015,74857,Good,19014.3
Tesla,Hybrid,2020,101528,Excellent,18847.199999999997
Honda,Hybrid,2023,117070,Excellent,6793.0
Tesla,Sedan,2013,61360,Fair,12364.0
BMW,SUV,2013,35256,Fair,19974.4
Honda,Hybrid,2012,56274,Excellent,2000.0
BMW,Sedan,2018,143895,Good,11610.5
Tesla,Hybrid,2023,31901,Fair,30309.9
Ford,SUV,2022,25729,Good,19427.1
Ford,Sedan,2012,79135,Excellent,2000.0
Toyota,Hybrid,2013,3569,Good,3143.1
Toyota,Sedan,2020,37325,Excellent,10267.5
Honda,SUV,2013,85662,Fair,2000.0
Ford,Hybrid,2018,58992,Excellent,5100.799999999999
BMW,Luxury,2021,43017,Excellent,26198.3
Honda,Luxury,2010,54270,Good,2000.0
Toyota,Hybrid,2012,6538,Excellent,2000.0
BMW,Luxury,2010,4950,Good,13505.0
Ford,SUV,2013,111724,Excellent,2000.0
BMW,Hybrid,2014,228,Fair,19977.2
Toyota,SUV,2012,84650,Excellent,2000.0
Ford,Luxury,2014,73488,Fair,2000.0
Ford,Hybrid,2018,146623,Fair,2000.0
BMW,Luxury,2014,20537,Good,17946.3
Ford,Hybrid,2020,77624,Excellent,6237.599999999999
Honda,Luxury,2014,45832,Excellent,2000.0
BMW,Luxury,2018,82416,Excellent,17758.4
Toyota,Hybrid,2023,63763,Good,12123.7
Tesla,Luxury,2013,134291,Good,5070.9
BMW,Luxury,2010,112887,Excellent,2711.2999999999993
Honda,Luxury,2017,133782,Good,2000.0
Honda,SUV,2010,47583,Excellent,2000.0
Ford,Sedan,2019,121461,Excellent,2000.0
Toyota,Sedan,2015,122653,Excellent,2000.0
Ford,Luxury,2011,138491,Excellent,2000.0
Tesla,Hybrid,2022,9934,Fair,31006.6
Tesla,Sedan,2012,49418,Good,12058.2
Honda,Sedan,2017,17893,Good,7710.7
Honda,Luxury,2018,60416,Excellent,4958.4
Toyota,Hybrid,2021,112138,Fair,4286.199999999999
Ford,Hybrid,2015,100793,Excellent,2000.0
Ford,Hybrid,2019,124378,Fair,2000.0
Tesla,Luxury,2015,58004,Fair,15699.599999999999
Honda,Hybrid,2010,40981,Excellent,2000.0
Ford,Hybrid,2011,41523,Excellent,2000.0
Tesla,Sedan,2012,90465,Good,7953.5
Tesla,Luxury,2017,16338,Excellent,22866.2
Tesla,Hybrid,2010,45404,Excellent,9459.599999999999
Ford,SUV,2021,59232,Fair,14576.8
Toyota,SUV,2014,115712,Good,2000.0
Honda,Hybrid,2017,15664,Fair,7933.6
Tesla,Luxury,2022,29916,Fair,29008.4
Tesla,Sedan,2021,47974,Fair,25702.6
BMW,Luxury,2020,57681,Good,23231.9
BMW,Sedan,2012,145978,Excellent,2402.199999999999
Ford,SUV,2013,139570,Good,2000.0
Tesla,Hybrid,2018,34254,Fair,22574.6
Ford,Sedan,2021,44475,Fair,11052.5
Ford,Sedan,2014,81103,Fair,2000.0
Honda,SUV,2013,89633,Fair,2000.0
Ford,SUV,2022,118963,Fair,10103.699999999999
Tesla,Hybrid,2010,46271,Good,9372.9
Ford,Hybrid,2018,126540,Excellent,2000.0
BMW,Hybrid,2019,109874,Excellent,16512.6
Tesla,Sedan,2016,113424,Excellent,11657.599999999999
Ford,Hybrid,2018,3003,Fair,10699.7
BMW,SUV,2016,94364,Excellent,18563.6
BMW,Hybrid,2012,30639,Good,13936.1
Ford,SUV,2016,148646,Fair,2000.0
Ford,Hybrid,2012,125461,Good,2000.0
BMW,Hybrid,2022,132728,Good,18727.199999999997
Toyota,Hybrid,2011,101850,Fair,2000.0
Honda,SUV,2020,24260,Good,16574.0
Ford,Sedan,2016,63678,Fair,2000.0
Toyota,Sedan,2022,114780,Good,5522.0
Toyota,Sedan,2013,97753,Excellent,2000.0
Toyota,Luxury,2022,122830,Excellent,4717.0
BMW,Sedan,2015,4083,Excellent,21091.7
Ford,SUV,2012,101963,Fair,2000.0
BMW,Hybrid,2019,2147,Excellent,27285.3
Tesla,Luxury,2020,142377,Excellent,14762.3
Honda,Sedan,2018,114558,Good,2000.0
Toyota,Luxury,2015,48638,Good,2000.0
Ford,Hybrid,2023,3852,Fair,18114.8
BMW,Sedan,2021,114265,Excellent,19073.5
Honda,Hybrid,2017,44205,Fair,5079.5
Ford,Hybrid,2020,70653,Good,6934.7
Ford,Luxury,2020,77743,Good,6225.7
Ford,Sedan,2015,36270,Excellent,2873.0
Ford,Sedan,2012,74141,Fair,2000.0
Ford,Luxury,2018,91215,Excellent,2000.0
Tesla,Sedan,2014,111069,Fair,8893.099999999999
Toyota,Hybrid,2019,13095,Fair,11190.5
BMW,Luxury,2021,104310,Excellent,20069.0
BMW,Hybrid,2023,36486,Good,29851.4
Tesla,Luxury,2022,16118,Good,30388.2
BMW,Hybrid,2022,89834,Good,23016.6
BMW,Hybrid,2010,63196,Fair,7680.4
BMW,Hybrid,2015,12665,Good,20233.5
BMW,Sedan,2015,14250,Good,20075.0
Tesla,Hybrid,2019,83401,Fair,19159.9
Honda,Sedan,2020,86333,Excellent,5366.699999999999
BMW,SUV,2016,59371,Good,22062.9
Ford,SUV,2015,134263,Excellent,2000.0
Tesla,Luxury,2018,85089,Excellent,17491.1
BMW,Sedan,2019,36743,Excellent,23825.7
Toyota,Hybrid,2016,53398,Good,2660.2
Toyota,Sedan,2014,30553,Excellent,2000.0
Toyota,Sedan,2023,145271,Fair,3972.8999999999996
Honda,SUV,2022,455,Good,21954.5
Tesla,Sedan,2012,114023,Good,5597.699999999999
Honda,Hybrid,2023,10920,Excellent,17408.0
Honda,Luxury,2013,44672,Good,2000.0
BMW,Luxury,2023,34525,Good,30047.5
BMW,SUV,2015,108679,Fair,15632.099999999999
BMW,Sedan,2015,94005,Excellent,12099.5
Honda,Hybrid,2013,7275,Good,2772.5
BMW,Luxury,2020,13819,Fair,27618.1
Ford,Sedan,2012,77187,Good,2000.0
Tesla,Sedan,2023,96943,Fair,23805.699999999997
Ford,Luxury,2021,31989,Good,12301.1
Toyota,Sedan,2012,82660,Fair,2000.0
Ford,Hybrid,2021,71295,Fair,8370.5
BMW,Luxury,2023,12601,Fair,32239.9
Honda,Sedan,2020,54698,Excellent,8530.2
Toyota,Hybrid,2011,127186,Fair,2000.0
Ford,SUV,2011,72046,Fair,2000.0
Ford,Sedan,2020,60130,Excellent,7987.0
BMW,Sedan,2012,117744,Excellent,5225.5999999999985
BMW,Luxury,2019,69644,Excellent,20535.6
BMW,SUV,2012,54245,Fair,16575.5
Ford,Luxury,2019,32740,Good,9226.0
Honda,Luxury,2021,127514,Excellent,2748.5999999999985
Honda,Hybrid,2021,136935,Good,2000.0
Ford,SUV,2015,74038,Excellent,4096.2
Toyota,Sedan,2017,48332,Good,4666.8
Toyota,Luxury,2021,5021,Excellent,14997.9
Honda,SUV,2018,44290,Good,11571.0
Toyota,Hybrid,2019,78432,Fair,4656.799999999999
Honda,Luxury,2012,87572,Fair,2000.0
BMW,Hybrid,2016,53304,Good,17669.6
Tesla,Sedan,2018,30261,Excellent,22973.9
Tesla,Hybrid,2020,108935,Excellent,18106.5
Honda,Luxury,2020,26976,Excellent,11302.4
Ford,SUV,2022,73058,Good,14694.2
Toyota,SUV,2018,86103,Fair,7389.699999999999
Honda,Sedan,2013,103394,Excellent,2000.0
Tesla,SUV,2013,93458,Excellent,14154.199999999999
Toyota,Hybrid,2011,5868,Good,2000.0
BMW,SUV,2022,29776,Fair,34022.4
Tesla,SUV,2022,106245,Good,26375.5
Toyota,SUV,2017,62951,Excellent,8204.9
Tesla,Sedan,2016,10358,Excellent,21964.2
Ford,Hybrid,2015,123549,Excellent,2000.0
BMW,SUV,2019,141823,Good,18317.699999999997
Tesla,Hybrid,2016,56093,Fair,17390.7
BMW,Luxury,2012,116277,Excellent,5372.299999999999
Ford,Sedan,2021,78230,Good,7677.0
Toyota,Hybrid,2023,22704,Excellent,16229.6
BMW,Luxury,2013,18656,Fair,16634.4
Ford,Luxury,2010,37341,Good,2000.0
Ford,Hybrid,2018,69761,Excellent,4023.8999999999996
Tesla,Hybrid,2021,22430,Good,28257.0
Tesla,Sedan,2011,97937,Fair,5706.299999999999
Tesla,Hybrid,2011,123146,Excellent,3185.3999999999996
BMW,Luxury,2023,28920,Fair,30608.0
Toyota,Sedan,2012,96219,Fair,2000.0
Toyota,Hybrid,2019,111238,Excellent,2000.0
BMW,Luxury,2012,13002,Excellent,15699.8
Tesla,Sedan,2012,22788,Fair,14721.2
Ford,SUV,2015,81992,Fair,3300.7999999999993
Ford,Luxury,2015,28345,Fair,3665.5
Ford,Hybrid,2020,54104,Good,8589.599999999999
Tesla,SUV,2012,131395,Fair,8860.5
Tesla,Hybrid,2018,148669,Good,11133.099999999999
Toyota,Sedan,2017,5197,Fair,8980.3
Toyota,SUV,2014,62087,Good,3791.2999999999993
Tesla,Sedan,2017,75093,Fair,16990.7
Ford,Luxury,2019,50915,Excellent,7408.5
Honda,Sedan,2010,143091,Good,2000.0
Honda,SUV,2011,148309,Fair,2000.0
Ford,Luxury,2017,135861,Excellent,2000.0
BMW,Luxury,2015,44160,Good,17084.0
Honda,Sedan,2019,132970,Good,2000.0
Ford,Hybrid,2018,72476,Fair,3752.3999999999996
Toyota,Hybrid,2020,82748,Good,5725.199999999999
Ford,Luxury,2010,98877,Good,2000.0
Tesla,SUV,2014,133310,Good,11669.0
BMW,Sedan,2020,67578,Good,22242.2
Tesla,Sedan,2021,55990,Good,24901.0
Tesla,SUV,2017,129660,Good,16534.0
Toyota,SUV,2020,102017,Good,8798.3
Tesla,SUV,2018,6460,Fair,30354.0
BMW,Sedan,2015,54050,Good,16095.0
BMW,SUV,2016,73438,Fair,20656.2
Toyota,Luxury,2011,124821,Fair,2000.0
BMW,Luxury,2013,83418,Good,10158.199999999999
Toyota,Hybrid,2017,35675,Fair,5932.5
Toyota,Sedan,2015,69498,Good,2000.0
BMW,Sedan,2013,21663,Excellent,16333.7
Ford,Sedan,2016,79249,Good,2000.0
Ford,Luxury,2018,5674,Good,10432.6
Tesla,Luxury,2010,63326,Good,7667.4
Toyota,Hybrid,2022,84842,Good,8515.8
Honda,Luxury,2019,126554,Excellent,2000.0
Toyota,Sedan,2023,63585,Fair,12141.5
Toyota,SUV,2016,58445,Good,7155.5
Toyota,Luxury,2015,101933,Excellent,2000.0
Tesla,Luxury,2021,1244,Excellent,30375.6
Ford,Sedan,2014,113881,Excellent,2000.0
Honda,SUV,2018,17243,Good,14275.7
BMW,Luxury,2019,31279,Fair,24372.1
Tesla,Hybrid,2018,92772,Excellent,16722.8
Honda,SUV,2023,53932,Fair,18106.8
Ford,Luxury,2012,78598,Fair,2000.0
BMW,Luxury,2011,77498,Good,7750.2
Ford,Luxury,2015,95634,Good,2000.0
Honda,SUV,2016,102633,Excellent,2736.699999999999
BMW,Sedan,2023,31033,Good,30396.7
BMW,Hybrid,2022,42544,Good,27745.6
BMW,SUV,2013,13891,Excellent,22110.9
BMW,Luxury,2013,61282,Good,12371.8
Toyota,Luxury,2012,135331,Fair,2000.0
Ford,Luxury,2014,57376,Good,2000.0
Tesla,Hybrid,2021,106160,Excellent,19884.0
BMW,Luxury,2012,10856,Fair,15914.4
Toyota,Sedan,2018,148506,Excellent,2000.0
BMW,SUV,2021,86879,Good,26812.1
Ford,Sedan,2020,84804,Excellent,5519.6
Toyota,Luxury,2016,148803,Fair,2000.0
BMW,Hybrid,2022,123394,Good,19660.6
Ford,Hybrid,2017,148922,Fair,2000.0
Honda,Sedan,2018,2167,Fair,10783.3
Toyota,Sedan,2017,116265,Good,2000.0
Toyota,Hybrid,2015,95303,Good,2000.0
Honda,Hybrid,2016,65280,Excellent,2000.0
Toyota,Sedan,2018,68967,Excellent,4103.299999999999
Ford,Luxury,2013,47078,Fair,2000.0
Toyota,SUV,2011,34511,Excellent,2048.8999999999996
Honda,Hybrid,2021,96123,Fair,5887.699999999999
Tesla,SUV,2010,132616,Excellent,5738.4
BMW,Hybrid,2014,130614,Excellent,6938.5999999999985
Tesla,SUV,2020,120282,Excellent,21971.8
Toyota,SUV,2021,47135,Excellent,15786.5
Toyota,Sedan,2016,89888,Fair,2000.0
Toyota,Hybrid,2020,72693,Good,6730.7
Ford,Luxury,2021,16150,Fair,13885.0
Toyota,Luxury,2016,88801,Good,2000.0
Tesla,SUV,2010,133653,Excellent,5634.699999999999
Honda,Sedan,2020,6510,Good,13349.0
Honda,Sedan,2012,20593,Good,2000.0
Tesla,SUV,2017,116562,Fair,17843.8
Honda,Luxury,2016,147743,Good,2000.0
Toyota,Luxury,2019,49901,Good,7509.9
Tesla,Luxury,2012,128841,Excellent,4115.9
BMW,Sedan,2023,28915,Fair,30608.5
